id_cohorte;effectif;inscriptions;réussites
14498;1;-8<--, D3APS, D4PAP;D2AES, D3APS, D4PAP
14499;1;BUIAC, B9AC1, B9AC2, [trou], BUPHC1, BUPHC2;BUIAC, B9AC2, BUPHC1, BUPHC2
14500;1;;L1PMS5, B2SSO5, B3SSO7
14501;1;-8<--, B2IFAV, B3IFAV, [trou], B3IFAV;B2IFAV, B3IFAV
14502;1;-8<--, L3PSY, L4PSY, L4PSY, L4PSY, L5CDEA, L5CDEA;L3PSY, L4PSY, L5CDEA
14503;1;B1PAES, B1PAES, L2PSY, L3PSY;L2PSY, L3PSY
14504;1;A3ANP;
14505;1;B1STA;BUCGP
14506;1;G4SE, G5SE2;
14507;1;S1TC1, S2TC1;S1TC1, S2TC1
14508;1;S1PR, S2PR, S2PR, S3COL;S1PR, S2PR
14509;1;V1RT, V1RT, V2RT, S1MP;
14510;1;B1IFDE, B2IFDE, B3IFDE, [trou], [trou], [trou], [trou], B5MKDA;B1IFDE, B2IFDE, B3IFDE
14511;1;B2SSO, B2SSO, B3SSO, B4SPT;B2SSO, B3SSO, B4SPT
14512;1;-8<--, L1LMO, L2LMO, L3LET, L4MFLM, L4LCA;L1LMO, L2LMO, L3LET, L4MFLM
14513;1;B1SVI, B2SVI, B3SVI, S3MSS2;B1SVI, B2SVI
14514;1;BUSDM, BUIAC, BUACO, [trou], BUACO;BUSDM, B5MLS, BUIAC
14515;1;S1TC, S2TC, L2LAE, L2LAE, L3LAE, L4LEAM, L5LEAM, L5LEAM;S1TC, S2TC, L2LAE, L3LAE, L4LEAM
14516;1;G1PC9, G1PC, G1PC, G1INF, E2EGE;E1EGE
14517;1;S1PR, S2PR, S2PR, S3COL;S1PR, S2PR, S3COL
14518;1;E5CP3;
14519;1;D1AES, V1GE, V2GMO;V1GE, V2GMO
14520;1;-8<--, D2DRO, D3DRO, D4RSE, D5RSE;D2DRO, D1CII, D3DRO, D4RSE, D5RSE
14521;1;B1STA, B1IFRB;
14522;1;L1ESP9, L2ESP9, L3ANES, L3ANES;L1ESP9, L2ANES, L3ANES
14523;1;G3SI, G4SI2, G5SI2;G3SI, GCLS1A, G4SI2, G5SI2
14524;1;G1INF, B1PAES, B1PAES;
14525;1;V1EI, V1EI;V1EI
14526;1;A1CA, A2CA, A3ANP2;A1CA, A2CA, A3ANP2
14527;1;-8<--, B3SM, B3DFAS, B4DFAS, B5DFAS, B91SPE, B92SPE, B93SPE, B94SPE, B95SPE, B9DM;B3SM, B3DFAS, B4DFAS, B5DFAS, B93SPE, B95SPE, B9DM
14528;1;D1DRO, D1DRO, D1DRO, D1DRO, D2DRO, D2DRO, D3DRO, D3DRO;D1DRO, D2DRO
14529;1;D1AES, D2AES, D3AEI;D1AES, D2AES, D3AEI, DCLS1A
14530;1;-8<--, D1DRO, D2DRO, D3DRO, D4DEI, D5DLFD, DXEN;D1DRO, D2DRO, D1CII, D3DRO, D4DEI, D5DLFD, DXEN
14531;1;G1MAT9, G1INF;
14532;1;L4PSY;L4PSY
14533;1;-8<--, S3MM, G2SPI, G3SPI;G2SPI, G3SPI
14534;1;B1IFTS, B1IFTS, B3IFTS, B3IFTS;B1IFTS
14535;1;L1PSY, L2PSY, L3PSY, L4PSY, L5CPPL, L5PI, L8PS;L1PSY, L2PSY, L3PSY, L4PSY, L5CPPL, L5PI
14536;1;B1SSSI, [trou], B1IFJV, B2IFJV, B3IFJV;B1SSSI, B1IFJV, B2IFJV
14537;1;E3ENT4, E4GFE;E3ENT4
14538;1;-8<--, L2PSY, L3PSY, L4PSY, L4PSY, L4PSY, L5PPI;L2PSY, L3PSY, L4PSY, L5PPI
14539;1;-8<--, G3ST, G4ST, G5ST;G3ST, G4ST, GCLS1A, G5ST
14540;1;L1PSY, L1PSY, L2SED, L2SED, L3SED;L1PSY, L2SED, L3SED
14541;1;C1COM, C2COM, C3COM, [trou], C4PCM;C1COM, C2COM, C3COM, C4PCM
14542;1;-8<--, DXDR1, [trou], [trou], LXAB1, B1PAES, B1SVI, B2SVI, B3SVI, B3SVI;LXAB1, B1SVI, B2SVI, B3SVI
14543;1;SXSD;
